rule_id,rule_category,rule_name,rule_description,severity,validation_method,example_violation,example_correct
RULE-001,EVIDENCE,Evidence Pointer Obrigatório,Todo elemento extraído DEVE ter evidence_pointer válido,CRITICAL,Verificar presença e formato,"screen sem evidence_pointer","screen com bi14a.esf:L0123-L0145"
RULE-002,EVIDENCE,Formato Evidence Pointer,Evidence pointer DEVE seguir formato arquivo.esf:Lxxxx-Lyyyy,CRITICAL,Regex: ^[a-z0-9]+\.esf:L\d{4}-L\d{4}$,"bi14a:123-145","bi14a.esf:L0123-L0145"
RULE-003,EVIDENCE,Linhas Existentes,Linhas referenciadas DEVEM existir no arquivo fonte,CRITICAL,Verificar range contra total_lines,"L9999 em arquivo com 1000 linhas","L0123 em arquivo com 6842 linhas"
RULE-004,REFERENCE,Screen ID Válido,Todo field DEVE referenciar screen_id existente,CRITICAL,Verificar screen_id em lista de screens,"field com screen_id='SCR-999' inexistente","field com screen_id='SCR-001' existente"
RULE-005,REFERENCE,Dependências Válidas,Todo logic DEVE ter dependencies válidas,CRITICAL,Verificar IDs em dependencies existem,"dependencies=['FLD-999'] inexistente","dependencies=['FLD-001'] existente"
RULE-006,COMPLETENESS,Campo Obrigatório Preenchido,Campos obrigatórios NÃO podem estar vazios,CRITICAL,Verificar campos != null e != '',"screen_name: ''","screen_name: 'TELA_CONSULTA'"
RULE-007,COMPLETENESS,SQL Statement Completo,Queries DEVEM ter sql_statement completo,HIGH,Verificar presença de SELECT/INSERT/UPDATE/DELETE,"sql_statement: ''","sql_statement: 'SELECT * FROM BANCOS'"
RULE-008,COMPLETENESS,Description Mínima,Descriptions DEVEM ter mínimo 10 caracteres,MEDIUM,Verificar length(description) >= 10,"description: 'Tela'","description: 'Tela de consulta de bancos'"
RULE-009,CLASSIFICATION,Field Type Válido,field_type DEVE ser INPUT/OUTPUT/DISPLAY,HIGH,Verificar valor em lista permitida,"field_type: 'TEXTO'","field_type: 'INPUT'"
RULE-010,CLASSIFICATION,Query Type Válido,query_type DEVE ser SELECT/INSERT/UPDATE/DELETE,HIGH,Verificar valor em lista permitida,"query_type: 'BUSCA'","query_type: 'SELECT'"
RULE-011,CLASSIFICATION,Logic Type Válido,logic_type DEVE ser CONDITIONAL/LOOP/CALL/ROUTINE,HIGH,Verificar valor em lista permitida,"logic_type: 'IF'","logic_type: 'CONDITIONAL'"
RULE-012,STRUCTURE,JSON Válido,Output DEVE ser JSON sintaticamente válido,CRITICAL,JSON.parse() sem erro,"{ 'invalid': json }","{ ""valid"": ""json"" }"
RULE-013,STRUCTURE,Metadata Completo,Seção metadata DEVE ter todos campos obrigatórios,CRITICAL,Verificar presença de campos,"metadata sem source_file","metadata com todos campos"
RULE-014,STRUCTURE,Arrays Não Vazios,Arrays de elementos NÃO devem estar vazios se houver dados,MEDIUM,Verificar length > 0 quando aplicável,"screens: [] com telas no arquivo","screens: [{...}] com telas extraídas"
RULE-015,METRICS,Coverage Mínimo,coverage_percentage DEVE ser >= 95%,HIGH,Calcular e verificar valor,"coverage: 80%","coverage: 98.5%"
RULE-016,METRICS,Evidence Validity 100%,evidence_pointers_valid DEVE ser 100%,CRITICAL,Todos evidence pointers válidos,"90% válidos","100% válidos"
RULE-017,EXTRACTION,Telas Completas,TODAS as telas do arquivo DEVEM ser extraídas,HIGH,Busca exaustiva por padrões SCREEN,"3 telas extraídas de 5 existentes","5 telas extraídas de 5 existentes"
RULE-018,EXTRACTION,Campos Completos,TODOS os campos de cada tela DEVEM ser extraídos,HIGH,Busca exaustiva por padrões FIELD,"10 campos extraídos de 15 existentes","15 campos extraídos de 15 existentes"
RULE-019,EXTRACTION,Queries Completas,TODAS as queries SQL DEVEM ser extraídas,HIGH,Busca exaustiva por EXEC SQL,"20 queries extraídas de 25 existentes","25 queries extraídas de 25 existentes"
